IsCity,Name,Code,MunicipalityName,MunicipalityCode,DistrictName,DistrictCode,RegionName,RegionCode,ZipCode,Latitude,Longitude,TotalPopulation,MalePopulation,FemalePopulation,AverageAge,MaleAverageAge,FemaleAverageAge
False,Blansko,Bln,Blansko,581283,Blansko,CZ0641,Jihomoravský kraj,CZ064,67801,49.3649500,16.6478550,20306,9823,10483,44.1,42.3,45.7
False,Bohumín,Bhm,Bohumín,599051,Karviná,CZ0803,Moravskoslezský kraj,CZ080,73581,49.9044260,18.3570740,20308,9937,10371,43.6,41.7,45.5
True,Brno,Brn,Brno,582786,Brno-město,CZ0642,Jihomoravský kraj,CZ064,60200,49.1951600,16.6069370,382405,185967,196438,42.9,41.1,44.6
False,Břeclav,Břc,Břeclav,584291,Břeclav,CZ0644,Jihomoravský kraj,CZ064,69002,48.7532400,16.8826170,24554,11851,12703,43.8,42.0,45.5
False,Česká Lípa,ČLp,Česká Lípa,561380,Česká Lípa,CZ0511,Liberecký kraj,CZ051,47001,50.6786200,14.5397990,37361,18181,19180,41.2,39.6,42.8
True,České Budějovice,CBd,České Budějovice,544256,České Budějovice,CZ0311,Jihočeský kraj,CZ031,37001,48.9757580,14.4803550,94229,45206,49023,43.2,41.4,44.8
False,Český Těšín,ČTš,Český Těšín,598933,Karviná,CZ0803,Moravskoslezský kraj,CZ080,73701,49.7471440,18.6238960,24069,11678,12391,43.1,41.6,44.5
False,Děčín,Dčn,Děčín,562335,Děčín,CZ0421,Ústecký kraj,CZ042,40502,50.7726560,14.2128610,47951,23289,24662,43.1,41.4,44.6
False,Frýdek-Místek,FMs,Frýdek-Místek,598003,Frýdek-Místek,CZ0802,Moravskoslezský kraj,CZ080,73801,49.6820310,18.3674220,55006,26872,28134,43.2,41.5,44.8
False,Havířov,Hvř,Havířov,555088,Karviná,CZ0803,Moravskoslezský kraj,CZ080,73601,49.7804920,18.4307250,70165,33998,36167,44.4,42.3,46.5
False,Havlíčkův Brod,HBr,Havlíčkův Brod,568414,Havlíčkův Brod,CZ0631,Kraj Vysočina,CZ063,58001,49.6044360,15.5797550,23255,11336,11919,43.7,41.7,45.5
False,Hodonín,Hdn,Hodonín,586021,Hodonín,CZ0645,Jihomoravský kraj,CZ064,69501,48.8530390,17.1261020,24385,11788,12597,44.4,42.5,46.2
True,Hradec Králové,HrK,Hradec Králové,569810,Hradec Králové,CZ0521,Královéhradecký kraj,CZ052,50002,50.2104610,15.8253110,92683,44543,48140,44.4,42.6,46.1
False,Cheb,Chb,Cheb,554481,Cheb,CZ0411,Karlovarský kraj,CZ041,35002,50.0796330,12.3699640,31920,15749,16171,42.7,41.2,44.1
False,Chomutov,Chm,Chomutov,562971,Chomutov,CZ0422,Ústecký kraj,CZ042,43004,50.4635980,13.4108370,48349,23853,24496,42.7,41.2,44.1
False,Chrudim,Chr,Chrudim,571164,Chrudim,CZ0531,Pardubický kraj,CZ053,53701,49.9498240,15.7951580,23140,11253,11887,42.8,40.9,44.6
False,Jablonec nad Nisou,JnN,Jablonec nad Nisou,563510,Jablonec nad Nisou,CZ0512,Liberecký kraj,CZ051,46601,50.7221530,15.1704140,45317,21711,23606,42.7,40.8,44.5
True,Jihlava,Jih,Jihlava,586846,Jihlava,CZ0632,Kraj Vysočina,CZ063,58601,49.4158600,15.5954690,51125,25049,26076,42.9,41.4,44.4
False,Jindřichův Hradec,JHr,Jindřichův Hradec,545881,Jindřichův Hradec,CZ0313,Jihočeský kraj,CZ031,37701,49.1445820,15.0062390,21169,10073,11096,43.7,42.0,45.4
True,Karlovy Vary,KaV,Karlovy Vary,554961,Karlovy Vary,CZ0412,Karlovarský kraj,CZ041,36001,50.2319520,12.8720620,48319,23160,25159,45.5,43.8,47.1
False,Karviná,Krv,Karviná,598917,Karviná,CZ0803,Moravskoslezský kraj,CZ080,73301,49.8567520,18.5433190,50902,24835,26067,44.4,42.3,46.4
False,Kladno,Kld,Kladno,532053,Kladno,CZ0203,Středočeský kraj,CZ020,27201,50.1417990,14.1068460,68896,33198,35698,42.8,41.1,44.4
False,Klatovy,Klt,Klatovy,555771,Klatovy,CZ0322,Plzeňský kraj,CZ032,33901,49.3956550,13.2951940,22140,10594,11546,44.6,43.0,46.1
False,Kolín,Kln,Kolín,533165,Kolín,CZ0204,Středočeský kraj,CZ020,28002,50.0274290,15.2028280,32490,16158,16332,42.6,40.6,44.6
False,Kopřivnice,Kpř,Kopřivnice,599565,Nový Jičín,CZ0804,Moravskoslezský kraj,CZ080,74221,49.5995700,18.1449100,21657,10719,10938,42.7,41.0,44.3
False,Krnov,Krn,Krnov,597520,Bruntál,CZ0801,Moravskoslezský kraj,CZ080,79401,50.0906830,17.7031680,23130,11118,12012,44.2,42.3,46.0
False,Kroměříž,Krm,Kroměříž,588296,Kroměříž,CZ0721,Zlínský kraj,CZ072,76701,49.2917580,17.3994800,28360,13453,14907,44.3,41.9,46.4
False,Kutná Hora,KHr,Kutná Hora,533955,Kutná Hora,CZ0205,Středočeský kraj,CZ020,28401,49.9525310,15.2687540,20828,10220,10608,43.3,41.8,44.7
True,Liberec,Lib,Liberec,563889,Liberec,CZ0513,Liberecký kraj,CZ051,46001,50.7663800,15.0544390,104261,50473,53788,42.2,40.7,43.7
False,Litoměřice,Ltm,Litoměřice,564567,Litoměřice,CZ0423,Ústecký kraj,CZ042,41201,50.5385200,14.1306460,23623,11393,12230,42.7,40.8,44.5
False,Litvínov,Ltv,Litvínov,567256,Most,CZ0425,Ústecký kraj,CZ042,43601,50.5985260,13.6103420,23489,11655,11834,43.2,41.9,44.5
False,Mladá Boleslav,MBl,Mladá Boleslav,535419,Mladá Boleslav,CZ0207,Středočeský kraj,CZ020,29301,50.4135250,14.9085380,44506,22623,21883,42.8,41.4,44.2
False,Most,Mst,Most,567027,Most,CZ0425,Ústecký kraj,CZ042,43401,50.5016550,13.6330120,65341,32114,33227,42.4,40.7,44.0
False,Nový Jičín,NJč,Nový Jičín,599191,Nový Jičín,CZ0804,Moravskoslezský kraj,CZ080,74101,49.5944250,18.0136360,23151,11176,11975,42.8,40.9,44.6
True,Olomouc,Olm,Olomouc,500496,Olomouc,CZ0712,Olomoucký kraj,CZ071,77900,49.5938780,17.2509790,100514,47671,52843,42.8,40.9,44.5
False,Opava,Opv,Opava,505927,Opava,CZ0805,Moravskoslezský kraj,CZ080,74601,49.9407600,17.8948990,55996,26897,29099,43.6,41.7,45.4
False,Orlová,Orl,Orlová,599069,Karviná,CZ0803,Moravskoslezský kraj,CZ080,73511,49.8702380,18.4251080,28330,13826,14504,42.8,41.1,44.4
True,Ostrava,Ost,Ostrava,554821,Ostrava-město,CZ0806,Moravskoslezský kraj,CZ080,70200,49.8210230,18.2626240,284982,138150,146832,43.1,41.2,44.9
True,Pardubice,Par,Pardubice,555134,Pardubice,CZ0532,Pardubický kraj,CZ053,53002,50.0344090,15.7812990,91755,45304,46451,43.4,41.6,45.2
False,Písek,Psk,Písek,549240,Písek,CZ0314,Jihočeský kraj,CZ031,39701,49.3035540,14.1581290,30379,14595,15784,43.1,41.4,44.7
True,Plzeň,Pls,Plzeň,554791,Plzeň-město,CZ0323,Plzeňský kraj,CZ032,30100,49.7385310,13.3737370,175219,85682,89537,43.2,41.7,44.7
True,Praha,Prg,Praha,554782,Praha,CZ0100,Hlavní město Praha,CZ010,11000,50.0756380,14.4379000,1335084,653654,681430,42.0,40.5,43.3
False,Prostějov,Prs,Prostějov,589250,Prostějov,CZ0713,Olomoucký kraj,CZ071,79601,49.4725490,17.1068510,43381,20339,23042,44.1,42.1,45.8
False,Přerov,Přr,Přerov,511382,Přerov,CZ0714,Olomoucký kraj,CZ071,75002,49.4565790,17.4503300,42451,20584,21867,45.1,43.1,47.0
False,Příbram,Přb,Příbram,539911,Příbram,CZ020B,Středočeský kraj,CZ020,26101,49.6855320,13.9990450,32248,15428,16820,44.2,42.2,46.0
False,Sokolov,Skl,Sokolov,560286,Sokolov,CZ0413,Karlovarský kraj,CZ041,35601,50.1746290,12.6599920,22924,11167,11757,43.0,41.6,44.4
False,Strakonice,Str,Strakonice,550787,Strakonice,CZ0316,Jihočeský kraj,CZ031,38601,49.2605040,13.9104080,22428,10722,11706,43.8,41.8,45.7
False,Šumperk,Šmp,Šumperk,523704,Šumperk,CZ0715,Olomoucký kraj,CZ071,78701,49.9779410,16.9718750,25452,11971,13481,44.8,42.6,46.7
False,Tábor,Tbr,Tábor,552046,Tábor,CZ0317,Jihočeský kraj,CZ031,39002,49.4130890,14.6775660,34119,16492,17627,43.8,42.3,45.3
False,Teplice,Tpl,Teplice,567442,Teplice,CZ0426,Ústecký kraj,CZ042,41501,50.6445580,13.8353840,49705,23976,25729,43.1,41.4,44.8
False,Trutnov,Trt,Trutnov,579025,Trutnov,CZ0525,Královéhradecký kraj,CZ052,54101,50.5654840,15.9091920,29958,14522,15436,43.6,41.7,45.4
False,Třebíč,Třb,Třebíč,590266,Třebíč,CZ0634,Kraj Vysočina,CZ063,67401,49.2148870,15.8796520,35107,17090,18017,43.9,42.2,45.4
False,Třinec,Třn,Třinec,598810,Frýdek-Místek,CZ0802,Moravskoslezský kraj,CZ080,73961,49.6777310,18.6708900,34778,16972,17806,43.6,41.8,45.4
False,Uherské Hradiště,UHr,Uherské Hradiště,592005,Uherské Hradiště,CZ0722,Zlínský kraj,CZ072,68601,49.0598970,17.4959500,25001,11854,13147,44.6,42.4,46.6
True,Ústí nad Labem,UnL,Ústí nad Labem,554804,Ústí nad Labem,CZ0427,Ústecký kraj,CZ042,40001,50.6612160,14.0532460,91982,44705,47277,42.4,40.8,44.0
False,Valašské Meziříčí,VMz,Valašské Meziříčí,545058,Vsetín,CZ0723,Zlínský kraj,CZ072,75701,49.4719040,17.9712370,22149,10694,11455,43.4,41.5,45.2
False,Vsetín,Vst,Vsetín,541630,Vsetín,CZ0723,Zlínský kraj,CZ072,75501,49.3390250,17.9939520,25782,12330,13452,44.1,42.0,46.0
False,Vyškov,Všk,Vyškov,592889,Vyškov,CZ0646,Jihomoravský kraj,CZ064,68201,49.2775520,16.9961990,20676,10036,10640,43.7,42.1,45.3
True,Zlín,Zln,Zlín,585068,Zlín,CZ0724,Zlínský kraj,CZ072,76001,49.2245370,17.6628630,74478,35661,38817,44.3,42.3,46.1
False,Znojmo,Znj,Znojmo,593711,Znojmo,CZ0647,Jihomoravský kraj,CZ064,66902,48.8560110,16.0543680,33775,16026,17749,43.5,41.5,45.2
False,Žďár nad Sázavou,ŽnS,Žďár nad Sázavou,595209,Žďár nad Sázavou,CZ0635,Kraj Vysočina,CZ063,59101,49.5642880,15.9395070,20485,9849,10636,44.8,43.2,46.2
